,"strftime('%H', TimeStamp)","AVG(abs(""PowerFactor"")) tar","AVG(abs(""PowerFactor"")) ref"
0,00,0.737040431266856,0.7221585954989911
1,01,0.7434318555008312,0.7067355272639969
2,02,0.7386069114470931,0.7058907503539348
3,03,0.7040546448087505,0.6955157920019213
4,04,0.6916873315363945,0.6859579494448397
5,05,0.6787082649151699,0.7014080803251275
6,06,0.8098222940226274,0.78967791411038
7,07,0.9511372334609162,0.8809027694520095
8,08,0.851682847896451,0.8077853133769259
9,09,0.7351783723522929,0.7662341926069731
10,10,0.7548277717976448,0.7558791014935723
11,11,0.7810880262438571,0.7575212142942285
12,12,0.7500322580645266,0.7589341472003538
13,13,0.7907886089813878,0.7787949361041177
14,14,0.7857945945946013,0.7656415669715962
15,15,0.7858807439825024,0.7632506558549765
16,16,0.802350726196886,0.7934339046724335
17,17,0.8509240021869988,0.8197184106907999
18,18,0.8957012358946904,0.8837169700527764
19,19,0.929644614543473,0.8758950249939885
20,20,0.8960752688172156,0.8460569153296067
21,21,0.8469371873263023,0.836045977011453
22,22,0.8005534658785703,0.800210797517246
23,23,0.7764524986271429,0.7687834112429334
